,index,city,population
204,4761,Bratislava,475503.0
205,4765,Brattleboro,11524.0
206,4770,Braunschweig,248561.0
207,4779,Brea,43255.0
208,4817,Bremen,566573.0
209,4818,Bremerhaven,113634.0
210,4819,Bremerton,218400.0
211,4827,Brentwood,64474.0
212,4834,Brest,340318.0
213,4843,Brewster,9837.0
214,4859,Brick,75342.0
215,4862,Bridgeport,924449.0
216,4866,Bridgewater,44467.0
217,4878,Brigham City,19601.0
218,4881,Brighton,134293.0
219,4893,Brisbane,2360241.0
220,4896,Bristol,567111.0
221,4914,Brockton,95708.0
222,4915,Brockville,21854.0
223,4919,Broken Arrow,110198.0
224,4932,Bronx,1418207.0
225,4938,Brookfield,39115.0
226,4941,Brookline,59180.0
227,4942,Brooklyn,2559903.0
228,4944,Brooklyn Park,80389.0
229,4949,Brookville,5874.0
230,4952,Broomfield,70465.0
231,4969,Brownsville,227239.0
232,5003,Brunswick,53914.0
233,5011,Brussels,1743000.0
234,5017,Bryan,86276.0
235,5060,Bucharest,1883425.0
236,5070,Buckhannon,8351.0
237,5083,Budapest,1723836.0
238,5110,Buffalo,914341.0
239,5111,Buffalo Grove,40494.0
240,5112,Buford,15522.0
241,5209,Burbank,102511.0
242,5227,Burgos,174051.0
243,5254,Burleson,48225.0
244,5256,Burlingame,30889.0
245,5257,Burlington,183314.0
246,5258,Burnaby,232755.0
247,5262,Burnsville,61339.0
248,5322,Butler,37796.0
249,5370,Byron Bay,5521.0
250,5713,Calgary,1239220.0
251,5716,Calhoun,34754.0
252,5719,California,14815.0
253,5750,Calumet City,35913.0
254,5786,Camarillo,76931.0
255,5804,Cambridge,129920.0
256,5811,Camden,73562.0
257,5830,Camp Hill,7905.0
258,5835,Camp Verde,11187.0
259,5843,Campbell,41793.0
260,5844,Campbell River,35138.0
261,5931,Canberra,381488.0
262,5986,Cannock,67768.0
263,6008,Canton,269418.0
264,6038,Cape Canaveral,10470.0
265,6042,Cape Girardeau,56551.0
266,6044,Cape Town,433688.0
267,6126,Carbondale,65671.0
268,6177,Carlinville,5514.0
269,6178,Carlisle,75399.0
270,6185,Carlsbad,115382.0
271,6194,Carmel,101068.0
272,6245,Carpinteria,13385.0
273,6263,Carrollton,139248.0
274,6268,Carson,91394.0
275,6269,Carson City,58756.0
276,6286,Cary,170282.0
277,6341,Casper,67598.0
278,6448,Castlegar,8039.0
279,6501,Catonsville,41547.0
280,6580,Cedar Falls,40536.0
281,6581,Cedar Grove,12516.0
282,6587,Cedar Rapids,188038.0
283,6611,Celina,16299.0
284,6630,Centennial,110937.0
285,6632,Center,11502.0
286,6652,Centralia,42922.0
287,6656,Centreville,74125.0
288,6668,Ceres,48706.0
289,6688,Cerritos,49859.0
290,6776,Chambersburg,53083.0
291,6784,Chamonix-Mont-Blanc,8648.0
292,6789,Champaign,159443.0
293,6809,Chandler,261165.0
294,6837,Chanhassen,26389.0
295,6848,Chantilly,24368.0
296,6866,Chapel Hill,64051.0
297,6888,Charles Town,24094.0
298,6889,Charleston,628377.0
299,6890,Charlestown,8370.0
300,6893,Charlotte,1512923.0
301,6895,Charlottesville,100416.0
302,6896,Charlottetown,42602.0
303,6897,Charlton,13550.0
304,6911,Chaska,26989.0
305,6916,Chatham,101647.0
306,6918,Chatsworth,6630.0
307,6919,Chattanooga,415501.0
308,6965,Chelmsford,115369.0
309,6966,Chelsea,39690.0
310,6967,Cheltenham,116447.0
311,6973,Chemnitz,243487.0
312,6988,Chennai,11564000.0
313,6997,Cheraw,7757.0
314,7019,Cherry Hill,70965.0
315,7031,Chesapeake,244835.0
316,7034,Cheshire,29147.0
317,7038,Chester,87507.0
318,7039,Chesterfield,47538.0
319,7042,Chestertown,6878.0
320,7053,Chevy Chase,9622.0
321,7054,Cheyenne,79484.0
322,7081,Chicago,8604203.0
323,7085,Chichester,30925.0
324,7092,Chickasha,16431.0
325,7096,Chico,117668.0
326,7102,Chicopee,55126.0
327,7134,Chillicothe,31999.0
328,7135,Chilliwack,83788.0
329,7300,Christchurch,383200.0
330,7315,Chula Vista,274492.0
331,7334,Church Hill,6664.0
332,7442,Cincinnati,1662691.0
333,7475,Citrus Heights,87796.0
334,7562,Claremont,36266.0
335,7573,Clarksburg,40403.0
336,7585,Clawson,11845.0
337,7590,Clayton,24887.0
338,7592,Clearfield,32118.0
339,7595,Clearwater,116946.0
340,7599,Clemson,17501.0
341,7600,Clermont,38654.0
342,7605,Cleveland,1710093.0
343,7614,Clifton Park,36663.0
344,7617,Clinton,39018.0
345,7624,Cloquet,12813.0
346,7632,Cluj-Napoca,324576.0
347,7664,Cobourg,19440.0
348,7682,Cocoa,18603.0
349,7702,Coeur d'Alene,116834.0
350,7728,Cold Spring,6571.0
351,7754,College Park,32163.0
352,7756,College Station,215243.0
353,7758,Collegeville,5174.0
354,7766,Collingswood,13884.0
355,7778,Cologne,1083498.0
356,7785,Colombo,752993.0
357,7797,Colorado Springs,642413.0
358,7803,Columbia,560041.0
359,7805,Columbia Falls,7556.0
360,7810,Columbus,1562009.0
361,7812,Colville,5135.0
362,7842,Commack,36953.0
363,7844,Commerce,12661.0
364,7885,Concord,652308.0
365,7928,Conroe,91079.0
366,7933,Conshohocken,8047.0
367,7956,Conway,74951.0
368,7958,Conyers,16256.0
369,7965,Coon Rapids,62998.0
370,7972,Copenhagen,1085000.0
371,7989,Coral Gables,49700.0
372,7991,Coral Springs,133759.0
373,7993,Coralville,22290.0
374,8031,Corinth,22099.0
375,8035,Cork,208669.0
376,8049,Corner Brook,19806.0
377,8051,Corning,19296.0
378,8053,Cornwall,46589.0
379,8082,Corpus Christi,342464.0
380,8106,Cortland,26729.0
381,8118,Corvallis,67467.0
382,8133,Costa Mesa,113003.0
383,8141,Cotati,7410.0
384,8150,Cottage Grove,37604.0
385,8165,Council Bluffs,62166.0
386,8198,Coventry,362690.0
387,8201,Covina,47450.0
388,8202,Covington,40341.0
389,8231,Cranston,81456.0
390,8241,Crawley,106597.0
391,8250,Crescent City,16849.0
392,8257,Creston,7713.0
393,8267,Crewe,73241.0
394,8309,Crossville,17825.0
395,8313,Crown Point,30488.0
396,8315,Croydon,10034.0
397,8331,Crystal City,7255.0
398,8332,Crystal Lake,39829.0
399,8367,Cuernavaca,338650.0
400,8402,Cullowhee,6377.0
401,8404,Culver City,39185.0
402,8409,Cumberland,47980.0
403,8414,Cumming,6547.0
404,8426,Cupertino,59276.0
405,8440,Curitiba,1879355.0
406,8476,Cuyahoga Falls,49106.0
407,8485,Cypress,49006.0
408,8544,Dachau,47400.0
409,8554,Daegu,2461002.0
410,8605,Dallas,5743938.0
411,8613,Dalton,86628.0
412,8616,Daly City,106280.0
413,8639,Dana Point,33577.0
414,8642,Danbury,176030.0
415,8661,Danvers,27586.0
416,8662,Danville,47059.0
417,8699,Darmstadt,159207.0
418,8705,Dartmouth,34204.0
419,8709,Darwin,136828.0
420,8744,Davis,76997.0
421,8770,Dayton,718353.0
422,8771,Daytona Beach,69186.0
423,8788,De Soto,7141.0
424,8794,DeKalb,66959.0
425,8795,DeLand,34851.0
426,8796,DeRidder,13354.0
427,8799,Dearborn,93932.0
428,8800,Dearborn Heights,55353.0
429,8813,Decatur,87236.0
430,8818,Dedham,25283.0
431,8825,Deerfield,18646.0
432,8826,Deerfield Beach,81066.0
433,8828,Defiance,18460.0
434,8853,Delaware,41283.0
435,8856,Delft,100011.0
436,8859,Delhi,31870000.0
437,8873,Delray Beach,69451.0
438,8909,Dennis,13939.0
439,8915,Denton,457177.0
440,8917,Denver,2876625.0
441,8928,Derby,255394.0
442,8935,Derry,85016.0
443,8940,Des Moines,473957.0
444,8942,Des Plaines,58899.0
445,8967,Detroit,3506126.0
446,8990,Devon,6578.0
447,9001,Dhaka,16839000.0
448,9047,Dickinson,23133.0
449,9230,Dodge City,27104.0
450,9239,Doha,1186023.0
451,9310,Doncaster,109805.0
452,9384,Dortmund,587696.0
453,9439,Douglas,27938.0
454,9442,Douglasville,33992.0
455,9460,Dover,117282.0
456,9467,Downers Grove,49057.0
457,9470,Doylestown,17431.0
458,9488,Draper,48587.0
459,9499,Dresden,554907.0
460,9508,Dripping Springs,5708.0
461,9550,Dubai,2502715.0
462,9552,Dubbo,38943.0
463,9553,Dublin,553165.0
464,9564,Dubuque,68109.0
465,9592,Duluth,119476.0
